id,title,genres,keywords,tagline,overview,cast,director,language
2230,Doubt,Drama,anxiety attack anxiety disorder covid-19,NA,A story about a person suffering from Hypochondriasis during the Co-Vid19 Pandemic.,Y. Nithin,Y. Nithin,te
2231,Donga Mogudu,Action Comedy Drama,,,"Donga Mogudu is a action comedy based movie in which, Chiranjiveei played dual role in this movie. Ravi Teja (Chiranjeevi) is an industrialist, who owns a textile company. He is a successful person in business but his personal life lacks harmony and peace. Tortured by his wife Madhavi and her mother, he finds life miserable. Meanwhile, his opponents cannot digest his success in business and plan to stop him from getting yet another business deal. Here, he meets Nagaraju (Chiranjeevi), who is a small-time thief. Ravi Teja is saved by Nagaraju and he plans to exchange their positions, so that his problems can be solved forever. Nagaraju agrees, and teaches madhavi, her mother, and Ravi Teja",Chiranjeevi Bhanupriya Radikaa Sarathkumar Madhavi Jayanthi,A. Kodandarami Reddy,te
2232,Amaram Akhilam Prema,Drama Romance,,,Akhila is a pampered young daddy’s girl who studies engineering in Kakinada. She moves to Hyderabad to prepare for civil services. Amar is an aspiring musician who falls for her and puts all his effort into getting her attention. Why did Akhila really move to Hyderabad and what makes her fall for Amar is what the film is all about.,Shivshakti Sachdev Keshav Deepak Vijay Ram Naresh Garu Srikanth Iyengar,Jonathan Vesapogu,te
2233,RAPO 22,,,,A fun filled slice of life entertainer,Ram Pothineni Bhagyashri Borse,Mahesh Babu P.,te
2234,Keelu Gurram,,,,"A young man after knowing his past through his queen mother who has been abandoned from the kingdom by the king for some false complaints against her, tries to make the things get better in the kingdom with the help of a magical horse.",Nageshwara Rao Akkineni Anjali Devi Relangi Venkata Ramaiah T. Kanagam A. V. Subba Rao,Raja Saheb of Mirzapuram,te
2235,Aatma Gowravam,Family Drama,,,"A zamindar who does not have any heir wishes to adopt Srinivas. However, his wife is against it and instead wants to adopt Venu, who is her sister's son.",Nageshwara Rao Akkineni Kanchana Gummadi Chalam Relangi Venkata Ramaiah,K. Viswanath,te
2236,Jathara,,,,"In 19th-century, a sacred temple's blessing turns to a curse when betrayal shatters faith. A young man must confront a ruthless tyrant, unraveling dark secrets, to restore his family's honor and bring hope back to a drought-stricken land.",,,te
2237,Thathamma Kala,Drama Music,,,"Ramaiah, a young man, moves to the city with his wife and children, despite his grandmother's disapproval. Soon, he faces several troubles but his son, Balakrishna, reunites the family.",N.T. Rama Rao Bhanumathi Nandamuri Balakrishna Harikrishna Nandamuri Ramana Reddy,N.T. Rama Rao,te
2238,Gorintaku,Romance Drama,,,"Ramu and Swapna are fellow medical students who love each other. But when neither of them reveal it, Swapna marries Anand, a doctor from London. Soon, Swapna realizes that Anand is already married. Meanwhile, Ramu meets Padma and falls in love with her.",Sobhan Babu Sujatha Savitri Sharada Rama Prabha,Dasari Narayana Rao,te
2239,Savaari,Comedy Drama Romance,,,"Raju who rents his Badshah for weddings, meets Baagi who has been in quench of real love after her step-parents try to get her married against her wish. How did she escape that marriage is the crux of the story.",Nandu Vijay Krishna Priyanka Sharma Shiva Ramachandravarapu Srikanth Reddy Ganta,Saahith Mothkuri,te
2240,#MayaLo,Comedy Romance,,,,Naresh Agastya Gnaneswari Kandregula Bhavana Vazhapandal RJ Hemant Sashank Manduri,Megha Mithra Pervar,te
2241,Sri Mahalakshmi,,remake,,Sri Mahalakshmi is a 2007 Telugu thriller film.,Srihari Mumaith Khan Ajay Raghu Babu Tanikella Bharani,,te
2242,Life Style,,,,A 2009 Indian Telugu movie.,Brahmanandam Meenakshi Dixit,Muppalaneni Shiva,te
2243,Yuvaraju,,,,,Nageshwara Rao Akkineni Jayasudha,Dasari Narayana Rao,te
2244,Kutumba Katha Chitram,Romance Horror Thriller,,,"Charan and Pallavi are software engineers, married to each other and leading seemingly happy lives. But what outsiders don't know is that Charan and Pallavi have squabbles all the time, owing to her job and not having time for the family. And then there's the creepy security guard who fantasizes about Pallavi all the time. Things take turn for the worse when there's a murder.",Nandu Vijay Krishna Sreemukhi Kamal Kamaraju Shivaji Raja,V. S. Vasu,te
2245,Allari Priyudu,Drama Romance,,,"Kavita and Lalita are dearest friends. They've been living together ever since Lalita's father died while trying to save Kavita from being crushed by a machine on a construction site. Lalita has been secretly writing poems to thrill her family and especially Kavita. Meanwhile, Raja is a lower-class musician who stays in a rental house along with his friends with a band owned by Babu Mohan. He lies to his grandmother saying he has a big job, but he believes that one day his band will become popular. He one day comes across one of Lalita's poems and falls in love with her. He writes a letter to Lalita stating how beautiful her poem was, she too falls for him after reading it. They both write letters to each other expressing their loving feelings.",Dr. Rajasekhar Ramya Krishnan Madhoo Rao Gopal Rao Brahmanandam,K Raghavendra Rao,te
2246,Green Signal,,,,Telugu film from director Vijay Maddhala.,Revanth Manas Gopal Sai Ashutosh Shilpi Sharma,Vijay Maddhala,te
2247,Bhale Krishnudu,Comedy Drama,,,"Krishna is the son of a wealthy man, Madhav Rao. When Madhav Rao's secretary tricks him for his property leading to his death, Krishna takes up a false identity to avenge his father's loss.",Anjali Devi Krishna Jaya Prada Kongara Jaggayya Kaikala Satyanarayana,K Raghavendra Rao,te
2248,Niku Naku Pellanta Tom Tom Tom,Romance Drama,,1 hour 44 minutes,"Niku Naku Pellanta Tom Tom Tom is a Telugu movie starring Sanjana  Anne, Karthik Shiva and Khuym in prominent roles. Ilt is a drama  directed by Manikanta Thalluri with Shatabdi Srinivas Reddy as  producer, forming part of the crew.",Sanjana Anne Karthik Shyam Khayyum Inturi Vasu Sri Sudha Bhimireddy,Manikanta Thalluri,te
2249,Lingababu Love Story,Comedy Drama,,,"Lingababu, a coward, pretends to be brave in order to impress Raaga, the girl he loves. But when a dreaded gangster threatens Raaga's life, he must find the courage to fight and protect her.",Rajendra Prasad Rajashree Ali Basha Tanikella Bharani Rallapalli Narasimha,Vamsy,te
2250,Shekaram Gari Abbayi,Drama,,,"Hero Sadhik (Vinu Maddipati) lays down the family of heroine Apsara (Akshaya), including family. Loves Apsara at first glance. He befriends her and then tells her about his love. But Apsara is rejecting that he has no job and responsibility.",Vinnu Maddipati Sai Akshatha Suman Talwar Shakalaka Shankar,Sai Akshatha,te
2251,Lenin,,,,No War is More  Violent than love,Akhil Akkineni Sreeleela Sivaji Sontineni Easwari Rao,Murali Kishor Abburu,te
2252,Happy Happy Ga,Drama,,,"Santhosh falls in love with Pooja, but she does not believe in love and refuses to reciprocate his feelings. Later, Pooja encourages her friend Priya to build a bond with Santhosh.",Varun Sandesh Vega Saranya Mohan Ali Basha,Priya Sharan,te
2253,Maya Bazaar,Family Fantasy Comedy,,,"Myth, Magic and Money play some interesting twists in the life of a couple.",Bhumika Chawla Raja S. P. Balasubramaniam Jayalalita Vajja Venkata Giridhar,Mohana Krishna Indraganti,te
2254,Bhookailas,,,,The story is based on the Sthala Purana of Gokarna Kshetram in Karnataka,N.T. Rama Rao Nageshwara Rao Akkineni S. V. Ranga Rao Jamuna Nagabhushanam,K. Shankar,te
2255,Mugguru Monagallu,,,,"Mugguru Mongallu is a comedy thriller and Srinivasa Reddy is the biggest highlight of the film. It's the story of Three people who are apparently deaf (Srinivas Reddy), dumb (Deekshit Shetty), and blind (Vennela Rama Rao) each, go to the police station with a few clues regarding the murders. Will the police catch the killers?",Srinivasa Reddy Dheekshith Shetty Achut Ramarao P Swetaa Varma,Abhilash Reddy,te
2256,Madhanam,,,,A love drama based on true incidents.,Tanikella Bharani Ajay Ghosh Sithara Bhavana Rao Srinivasa Sayee,Ajay Sai Manikandan,te
2257,Rojulu Maraayi,,,,"Venu enlightens the villagers against Sagarayya, a greedy landlord who grabs barren lands of the village, and reports to the Collector. Sagarayya creates a rift between Venu and his father which affects his sister's marriage. Venu starts living separately with his wife Radha. The film shows the revolt of the villagers against their oppressors",Waheeda Rehman Nageshwara Rao Akkineni Sowcar Janaki C S R Anjaneyulu Relangi Venkata Ramaiah,Tapi Chanakya,te
2258,Madhura Nagarilo,Crime Thriller Romance,chase murder,,A thriller directed by Kodi Ramakrishna,Srikanth Nirosha Chinna Suresh Meena,Kodi Ramakrishna,te
2259,America Ammayi,Drama,,,Sridhar is an Indian youth staying in the United States. He marries an American woman Neena and brings her to India. His parents refuse to accept her into their house.,Ranganath Annick Chaymotty Sreedhar Unni Mary Pandari Bai,Singeetam Srinivasa Rao,te
2260,Sri Sri,Action Drama Family,revenge,Revenge never gets old,Sripada Srinivasa Rao aka Sri Sri (Krishna) is a well-known law professor in Visakha. Sri Sri's Daughter Swetha prepares a Documentary on the negative impact of the violations of JK Industries on the tribals in the agency. That's when she gets killed by the Son of JK Industries MD &amp; two other Youth. Sri Sri moves court but justice was denied. What path he choose to take revenge on the accused forms the rest of the story..!,Krishna Vijaya Nirmala Sai Kumar Naresh,Muppalaneni Shiva,te
2261,Back Bench Student,,,,"Karthik (Mahat Raghavendra) is a careless Engineering student, who is least bothered about his studies the result of which is 16 backlogs. He is in love with his classmate Priyanka (Archana Kavi), who splits from him and leaves for USA to pursue MS. The hell breaks loose when his parents (Sarath Babu and Pragathi) come to know about the backlogs.",Mahat Raghavendra Pia Bajpiee Archana Kavi Brahmanandam Sarath Babu,Madhura Sridhar Reddy,te
2262,Vasham,Thriller Action Drama,,,"Vasham explores the concept of science and ancient mystic knowledge, and dual nature of man - good and bad, through the lives of two people, Arvind and Dr. Vibuthi Nag.",Krishneswara Rao Nanda Kishore M. V. Vasudeva Rao Swetaa Varma,Srikanth Challa,te
2263,Manasunte Chalu,Romance Drama,,,"Jonnalagadda Sreenivasa Rao directs this film produced by Ramoji Rao under Ushakiran Movies starring Sai Kiran, Jennifer & Sivaji in the lead roles. Shiva Shankar has scored the music on the lyrics of Sri",Brahmanandam Venu Madhav Sai Kiran Sivaji Sontineni Dharmavarupu Subramanyam,,te
2264,Aunty,Drama Romance,,,The story revolves around three young men who fall in love with a pretty older woman who had moved into their neighbourhood.,Jayasudha Anand Chinna Raja Ravindra Raghava Lawrence,Mouli,te
2265,Seetharama Kalyanam,Family Comedy,,,"The story starts with a conflict between two villages Ramapuram and Raghavapuram for Lord Rama statues. In that conflict, Raja's father who is the president of Ramapuram has been killed by Govindaiah brother-Subbaramaiah. Taking into that mind Raja's elder brother Rangayya kills Subbaramaiah and is sentenced to jail. After few years, Raja falls in love with one of his colleague in college without knowing that she is Subbaramayya's daughter, her name is Vara Laxmi. But their love was accepted neither by Laxmi's brother Hari nor by Govindayya. The rest of the film is all about how Raja struggles to marry Lakshmi with creating the relationship between both the families.",Nandamuri Balakrishna Rajani Kongara Jaggayya,Jandhyala Subramanya Sastry,te
2266,Kula Gowravam,Drama,,,"A wealthy young man falls in love with a dancer and marries her which angers his orthodox father. However, the couple eventually get separated and meet after several years under unusual circumstances.",N.T. Rama Rao Jayanthi Aarathi Chittoor V. Nagayya Padmanabham,N.T. Rama Rao,te
2267,Vijay,Drama,,,"Vijay is a 1989 Telugu, Action film, produced by Akkineni Venkat on Annapurna Studios banner and directed by B. Gopal. Starring Akkineni Nagarjuna, Vijayashanti played the lead roles and music composed by Chakravarthy.",Nagarjuna Akkineni Vijayashanti Kongara Jaggayya Jayasudha,B. Gopal,te
2268,Ottesi Cheputunna,,,,"Film starring Srikanth, Sravanthi, Sivaji",Srikanth Kaniha Sivaji Sontineni Sunil Varma Anitha Patel,E. Sathi Babu,te
2269,Dear Nanna,Family Drama,,,"A touching tale of a father, Ravi, who hopes his son Surya will take over the family pharmacy. But Surya's passion lies in the culinary arts. How do their conflicting aspirations shape their relationship?",Chaitanya Rao Surya Bhagawan Das Yashna Chowdary Shashank Madhunandan,Anji Saladhi,te
2270,Velugu Needalu,Drama,,,The life of 2 friends suguna (Savitri) and chandram (Nageshwara Rao) is potrayed as they and people around them swing between happiness and misery ( denoted as light and shadow).,Nageshwara Rao Akkineni Savitri Suryakantham S. V. Ranga Rao Relangi Venkata Ramaiah,Adurthi Subba Rao,te
2271,The Golden Sparrow,Comedy Drama,bapu bangaru pichika,The Golden Sparrow,"Chandra Mohan is the son of a rich mother (Shanta Kumari) and fun-loving father. His mother asks him to marry, but his father advises him to run away from home and enjoy life. His mother announces rewards for those who find him. He tries to escape all these people. A criminal gang which has an eye on his properties sends one of their female members (Vijaya Nirmala) to attract him. But she falls in love with him. The remaining story is about how they both escape the criminal gang and unite.",Vijaya Nirmala Chandramohan Ramanna Panthulu Raja Babu Garikapati varalakshmi,Bapu,te
2272,Jai Bholo Telangan,History,,,Film from Nimmala Shankar,Jagapati Babu Smriti Irani Meera Nandan Sanga Pratap Kumar,Nimmala Shankar,te
2273,Veguchukka Pagatichukka,Family Action,,,Arjun and Bhanu Chander,Arjun Sarja Bhanuchander Khushboo Ashwini,Sathya Reddy,te
2274,Emo Gurram Egaravachu,,,,Emo Gurram Egaravachu is a 2013 Telugu romantic comedy directed by Chandra Siddhartha. It is also known by its abbreviation EGE. It features Sumanth and Pinky Sawika Chaiyadech in the lead roles.,Savika Chaiyadej Sumanth Thagubothu Ramesh Pavala Shyamala Annapoorna,Chandra Siddhartha,te
2275,Police Vari Hecharika,Action Romance,,,A romantic action entertainer movie,Naga Shaurya,K P Rajendra,te
2276,Bala Nagamma,Action Drama Music,,,"The story is about Bala Nagamma, a young princess. The King prays for progeny and is blessed with children, the youngest of them is named Bala Nagamma. She is married off to Karyavardi Raju. She is kidnapped by Mayala Marathi who turns her into a dog and takes her to his cave. Once there, he tries to take advantage of her. She keeps him away by quoting some Holy Rites and Pujas that she is involved in. She is a prisoner in the cave for fourteen years, during which time the Fakir's mistress, Sangu, becomes jealous of his obsession with Bala Nagamma. In the meantime, her son Balavardi Raju grows up and discovers the truth about his mother.",Kanchanamala Govindrajulu Subba Rao Banda Kanakalingeshwara Rao Balijepalli Lakshmikanta Kavi,Chittajalu Pullayya,te
2277,The Rose Villa,Horror Thriller,,,"Ravi and Sweta meet a lonely elderly couple when their car breaks down in the forest. Invited to their home, strange behaviour sets off alarm bells and Ravi and Sweta attempt to escape.",Dheekshith Shetty Raja Ravindra Archana Kumar Vennela Ramarao Thummala Narasimha Reddy,RJ Hemant,te
2278,Hello Premistara,Romance Action,,,"Two identical stepbrothers, Arvind and Arjun, cannot tolerate each other's presence. However, their lives take a turn when they fall in love with the same woman, and each tries his best to win her.",Sairam Shankar Sheela Kaur Brahmanandam M. S. Narayana Dharmavarupu Subramanyam,,te
2279,Naanna Nenu Naa Boyfriends,Comedy Romance,,,"The story of a pampered girl who is uncertain about settling for an arranged marriage. When her father gives her an opportunity to look for a suitor, she falls in love with three of them and gets into a fix.",Hebah Patel Ashwin Babu Rao Ramesh Tejaswi Madivada Noel Sean,Bhaskar Bandi,te
2280,Pichi Pullaiah,Drama,pichi pullayya,,"Pullaiah is sent by his father to work in the city for a landlord. Pullaiah faces a lot of hardships and goes to jail, but finally is proved innocent.",N.T. Rama Rao Sowcar Janaki Krishna Kumari Gummadi Ramana Reddy,Tatineni Prakash Rao,te
2281,Aatma Katha,,,,No synopsis available,Mohan Sarath Babu Jayasudha Khushboo Rama Prabha,V. Madhusudhan Rao,te
2282,Prematho Mee Karthik,Drama Romance,,,"(Acted by karthi)When the materialistic businessman, Gopikrishna, is diagnosed with a life-threatening disease, he decides to take a 30 days trip with his son, Karthik, who also has a materialistic approach to life. Along the way, they meet various people who give them a fresh perspective on life, while Gopikrishna tries to hide the fact of his impending death from his son.",Kartikeya Gummakonda Simrat Kaur Murali Sharma Pragathi Mahavadi Gollapudi Maruti Rao,Rishi Raj,te
2283,Aghora,Drama,,,,Nagendra Babu Ponnambalam Yuvaraj Rajeti,Rao Durga,te
2284,Crazy Uncles,,,,Telugu Movie,Sreemukhi Mano Raja Ravindra Posani Krishna Murali,,te
2285,Pareshan,Comedy,,,"Issac and his friends are typical jobless youth who waste time boozing around and get scolded by their parents. As if aimlessness was not an issue, Issac faces an unexpected problem that changes his life due to his girlfriend, Shirisha.",Thiruveer Reddy Pavani Karanam bunny abiran Raju Bedigela Muralidhar Goud,Rupak Ronaldson,te
2286,Jithender Reddy,,,,"The movie depicts the life of a courageous Jithender Reddy who rises as a student leader, fighting for the rights of his fellow students and inspired by his mentor`s guidance.",Rakesh Varre Vaishali Raj Riya Suman,Virinchi Varma,te
2287,Selfish,Romance Drama Comedy,,,,Ashish Reddy Ivana,Vishal Kasi,te
2288,Drill,Crime Thriller,,A Hyderabadi Story,,Haranath Policherla Karunya Chowdary Gemini Suresh Raghu Babu Tanikella Bharani,Haranath Policherla,te
2289,Police Report,,,,Police Report is a 1989 Indian Telugu film.,Naresh Ranjani Mohan,Hari Anumolu,te
2290,Sri Rama Bantu,,,,Sri Rama Bantu is a 1979 Telugu film starring Chiranjeevi and Mohan Babu.,Chiranjeevi Geetha Mohan Babu,,te
2291,Trinetrudu,Action,,,,Chiranjeevi Bhanupriya Nagendra Babu Kulbhushan Kharbanda Murali Mohan,A. Kodandarami Reddy,te
2292,The Girlfriend,Romance Drama,,,,Rashmika Mandanna Dheekshith Shetty Rao Ramesh Rohini,Rahul Ravindran,te
2293,Suryam,,,,A man sets out to fulfil his mother's last wish after serving his term in a juvenile detention center for a murder he did not commit.,Vishnu Manchu Celina Jaitly Mohan Babu Archana,V. Samudra,te
2294,Dollar Dreams,Drama,y2k,,Six young people struggle with the choice between moving to the US or staying in India.,Santosh Kumar Anish Kuruvilla Priyanka Veer Dr. Anil Prashant Satya Krishnan,Sekhar Kammula,te
2295,Bomma Adirindi Dimma Tirigindi,,,,"After five years, a group of college girls plan for a reunion party at a farmhouse situated at the outskirts of the city. However, they get stuck in the farmhouse owing to the nationwide lockdown. During their stay, they experience paranormal events that leave them in a state of panic.",Shakalaka Shankar Arjun Kalyan Heena Priya Avanthika Harinalwa,Kumar Kota,te
2296,Ooriki Monagadu,Action Drama Romance,,,"Dharma witnesses a brutal murder by a politician who falsely accuses him of molesting a woman. Years later, Dharma's son decides to provide justice to his father.",Krishna Jaya Prada Chandramohan Kanta Rao Rao Gopal Rao,K Raghavendra Rao,te
2297,Prema ishq kaadhal,Comedy Romance Drama,,,"Randy (Harshavardhan Rane) is a guitarist and a noble guy. He is in music field because he loves it, but not to earn money. Sarayu (Vithika Sheru) works for a charity organization and she is in awe with music and inner personality of Randy. Royal Raju (Sree Vishnu) is a street-smart guy from a village who comes to city to enjoy. He joins as an assistant director for a film and he gets attracted to a fashion designer Sameera (Ritu Varma). RJ Arjun works for a FM Radio station and he is a complete flirt. He gets attracted to a Tamil girl Santhi (Sree Mukhi) and wants to bed her. This movie is about how these unrelated love stories culminate simultaneously to tell why men follow their heart and women follow their mind.",Harshvardhan Rane Vithika Sheru Harish Verma Sreemukhi Sree Vishnu,Pavan Sadineni,te
2298,Manasara...,,,,"A magnificent love story that tests the emotional strength of true love when it is pitted against the brutal force of the martial art, Kalaripayittu.",Vikram Sri Divya Annapoorna M. S. Narayana Bhanuchander,Ravi Babu,te
2299,Anthaku Minchi,Horror Romance,,,"A couple gets paid 5 crores to live in a supposedly haunted house, to prove to people that ghosts don't exist. Unfortunately, the place is actually haunted by a spirit who makes it difficult for them to continue their stay.",Jai Rashmi Gautham Ravi Prakash,Jhony,te
2300,THE GRAY,Drama Thriller,heist drama human dimensions,HOW MUCH DOES GRAY NATURE OF HUMANS RANGE?,"The GRAY is thriller, heist-drama film- an eclectic people clubbed for a heist, explores the human dimensions, facets of emotions in aftermath and it's true intentions.",DIYAANSH SHIVA KISHORE SHRADDHA AKUNURI SIRI NANDA KISHORE,MADHU,te
2301,Gunda Mawali,Romance,,,Credited cast:  Nagarjuna Akkineni  ...  Jagan  Mahesh Anand  Babu Mohan  Dipti Bhatnagar  Brahmanandam  Ashok Kumar K.  Srinivasa Rao Kota  Simran  Dara Singh  Sudhakar  Sujatha  Vijayakumar,Nagarjuna Akkineni Simran Deepti Bhatnagar Mahesh Anand,Suresh Krishna,te
2302,Tandra Paparayudu,Action War History,,,The story of an Indian Freedom fighter who fought the French even before the British could establish their authority in India,Krishnam Raju Mohan Babu Pran Sikand Jayasudha Ramakrishna,Dasari Narayana Rao,te
2303,Nuvvala Nenila,,,,Film staring  Poorna and Varun Sandesh,Poorna Varun Sandesh,Trinadha Rao Nakkina,te
2304,Koduku,,,,"Watch the full movie, Koduku, only on Eros Now. Koduku is a 2004 Indian Telugu film, directed by M S Narayana and produced by Thadi Thatharao. The film stars Vikram, Aditi Agarwal and Mounika in lead roles.",,,te
2305,Exploring ''Shiva'' Movie After 25 Years,,,,"This Documentary is about a film whish released on oct 5th 1989.  IT NOT ONLY SHOCKED THE AUDIENCE, BUT IT REDEFINED RULES OF FILM MALKING.",Ram Gopal Varma Nagarjuna Akkineni Amala Akkineni Puri Jagannadh Pasupuleti Krishna Vamsi,,te
2306,Janata Bar,,,,"Mothers, children, sisters, and ordinary revolutionaries frequently make huge personal sacrifices in the fight for the right to live equally under the law. 'Janata Bar' is the story of one such woman who fought for justice.",Raai Laxmi Pradeep Ram Singh Rawat Suresh Bhupal Raju Aman Preet Singh,Ramana Mogili,te
2307,Satyameva Jeyate,Action Drama Thriller,remake,,"Satyameva Jayate is a Telugu film and remake of 2004 Hindi Movie Khakee, starring Dr. Rajasekhar, Shivaji, Sai Kiran, Neetu Chandra, Sanjana and Sheryl Pinto. It was directed by Jeevita with music composed by Chinna. The movie didn't farewell at the box office.",Dr. Rajasekhar Neetu Chandra Sanjjanaa Galrani Lara Dutta Milind Soman,Jeevitha,te
2308,Sravanthi,,,,"The film depicts the journey of a girl who gradually becomes a strong woman. She knowingly marries a man who is affected with Cancer and he passes away very soon. She somehow manages to get rid of the trauma and marries another man, who has lost his wife and has a little daughter.",Suhasini Maniratnam Sarath Babu Mohan Subhalekha Sudhakar,Kranthi Kumar,te
2309,Peddarikam,Comedy Drama,,,"Trouble ensues when youngsters from two rival houses fall in love while they try to deceive one another. As love blossoms between the forbidden lovers, they strive to end their families' enmity.",N.N. Pillai Jagapati Babu Sukanya,A. M. Rathnam,te
2310,Maa Nanna Nirdoshi,,,,"Radha, a rich woman, marries Krishna, a doctor, against her father's wishes. An unexpected turn of events changes their lives forever.",Sridevi Vijaya Nirmala,K.V. Nandana Rao,te
2311,Rowdyism Nasinchali,Action,,,,Vani Viswanath Dr. Rajasekhar Brahmanandam,A. Kodandarami Reddy,te
2312,Jeevana Tarangalu,,,,Jeevana Tarangalu,,Rama Rao Tatineni,te
2313,Kokilamma,Drama Music,,,Kokilamma is a 1983 Telugu film directed by K. Balachander. The title role of Kokilamma is played with humility by Saritha. It is a musical hit film with some excellent songs penned Acharya Atreya and music score provided by M. S. Viswanathan. The Andhra Pradesh Government has also awarded K. Balachander the Nandi Award for Best Screenplay Writer for his film Kokilamma in 1982.,Rajeev Saritha Swapna Sanjay,K. Balachander,te
2314,Sye Aata,,,,A dance choreographer and her team of children come between two feuding gangs.,Charmy Kaur Ajay Ali Basha Kota Srinivasa Rao M. S. Narayana,K. R. K. Pavan,te
2315,Colourful Dream,,,,"Narasinga Rao’s debut is an existential melodrama with the director playing a romantic painter, Ravi, whose friends include a trade union leader (Kakarala), an autorickshaw driver, a Marxist journalist (Narayana Rao) and a glib, successful painter (Saichand) whose success contrasts with Ravi’s inability to sell his own work. His neighbour Kankamma, who rejects an evil landlord’s advances, is evicted from her house; the trade unionist is killed in police custody; and Ravi starts exhibiting his work on the streets to indicate his growing politicisation to the satisfaction of his Marxist friend. The film is geared to the CPI(ML)-led political movements in Northern AP and included the compositions and songs of the region’s best-known radical poet and performer, Gaddar.",B. Narsing Rao Sai Chand Rupa Gaddar,B. Narsing Rao,te
2316,Madhumasam,Drama Romance,,,"Sanjay (Sumanth) is an extremely practical guy who believes in nothing but logic and reasoning. He listens to his mind and ignores his heart. Hamsa Vahini (Sneha) is a girl who believes strongly in human bonds and trusts everybody easily. Hamsa likes Sanjay immensely and proposes to marry him. Sanjay too accepts the proposal. In a casual chitchat, Sanjay reveals that he does not love her though he is marrying her. He feels that it is a marriage of convenience and practicality. Sanjay's confession hurts Hamsa and she cancels the engagement. As Sanjay slowly realizes the power of love and starts missing her, Hamsa becomes pragmatic and practical due to her family related circumstances, and ignores his pleas for forgiveness. The rest of the story is all about how she finally accepts Sanjay's love.",Sumanth Sneha Parvati Melton,Chandra Siddhartha,te
2317,Sriranga Neethulu,,,,"Narayana Murthy is a respected businessman who professes righteousness. But when his illicit daughter Lakshmi reenters his life, he struggles to keep his hypocrisy from being revealed. Meanwhile, Lakshmi has secrets of her own. Murthy's son Rajesh is determined to out the truth.",Kaikala Satyanarayana Nageshwara Rao Akkineni Sridevi Chandramohan Vijayashanti,A. Kodandarami Reddy,te
2318,Adrushtavanthulu,Action Drama,,,"Raghu (Akkineni Nageswara Rao) a notorious criminal released from jail after completing his imprisonment as a changed person and challenges the Inspector Murthy (Gummadi) that he is going to live as an honest person and prove himself in the society. So he turns as a truck driver for survival with the help of his friend Jakie (Padmanabham). While delivering goods via his truck, Raghu and Jackie help out a young man, who turns out to be a woman in disguise named Jaya (Jayalalitha).",Nageshwara Rao Akkineni Jayalalithaa J Gummadi Kongara Jaggayya Suryakantham,V. Madhusudhan Rao,te
2319,Rani Kasula Rangamma,,,,"Sukumar, the son of a rich industrialist, is a spoilt man who takes advantage of innocent village girls. However, when Roja complains to his father, the two conspire to teach Sukumar a lesson.",Chiranjeevi Sridevi Nutan Prasad Rallapalli Narasimha Allu Ramalingaiah,T. L. V. Prasad,te
2320,Ninnu Chere Tarunam,Romance Drama,,,"Radha, a blind guy meets Krishna when things are not fine in their lives. Radha hides his disability to Krishna and faces a lot of problems. When things work well, Radha out of guilt, confesses to Krishna that he is blind. Krishna feels betrayed. How things unfurl after this incident forms the rest of the story.",Manika Chikkala Manoj Krishna Tanneru,Effi Rogers,te
2321,Indradhanusu,Drama,,,,Krishna Sharada G. Varalakshmi Kanchana Gummadi,K. Bapaiah,te
2322,Sri Sitaramula Kalyanam Chutamu Rarandi,Romance,,,"Madhavi gets married to Krishna in their childhood, but later, Krishna is presumed dead. Years later, when she falls in love with Raju, Krishna reappears.",Nageshwara Rao Akkineni Murali Mohan Chalapathi Rao Ahuti Prasad Banerjee,Y. V. S. Chowdary,te
2323,Gokulamlo Seetha,Romance Drama,,,"Kalyan (Pawan Kalyan) is a careless and spoiled brat of a rich man Muddu Krishnayya (Kota Srinivasa Rao). Kalyan has every weakness that a rich and careless youth can have, and Baburao (sudhakar) helps him in all his activities.",Pawan Kalyan Raasi Kota Srinivasa Rao Sudhakar Srihari,Muthyala Subbaiah,te
2324,Sitadevi,Family Drama,,,"A young man begins to indulge in petty thefts to save money for his handicapped sister's wedding. But when his crimes come out, the groom refuses to marry his sister.",Chiranjeevi Sujatha Satyendra Kumar Rallapalli Narasimha Janaki,Eranki Sharma,te
2325,Aruguru Pativratalu,,,,Six women who were one schoolfriends meet again after six years and discuss their marital lives.,Chalapathi Rao L. B. Sriram,E.V.V. Satyanarayana,te
2326,DK Bose,Comedy,,,"DK Bose is story of 2 fraudulent friends who are always on run after committing a fraud. This time time they have a big plan to commit a Diamond fraud in Mangalore (Coastal region of Karnataka). While they had a clear plan to execute, they encounter unanticipated situations and characters leading to a series of Comical Situations, misunderstandings and an action-packed climax.",Sundeep Kishan Nisha Agarwal Sampath Raj Saptagiri,An Bose,te
2327,Bhale Thammudu,Action Crime,,,"A pair of twin brothers is separated at birth and one becomes a police officer while the other, a gangster. However, when they reunite, they decide to avenge their father's murder.",N.T. Rama Rao K R Vijaya Relangi Venkata Ramaiah Rajanala Kaleswara Rao M. Prabhakar Reddy,B. A. Subba Rao,te
2328,Master,Action Drama,,,"A popular college professor is unable to find true happiness because of his dark past, but the persistence of love and justice ultimately win the day.",Chiranjeevi Sakshi Shivananda Puneet Issar Satya Prakash Brahmanandam,Suresh Krishna,te
