id,title,genres,keywords,tagline,overview,cast,director,language
718,Ghaati,Drama Crime,,VICTIM. CRIMINAL. LEGEND.,Follows the story of an empowered woman who gets entangled with weed trade due to circumstances.,Anushka Shetty Vikram Prabhu,Radha Krishna Jagarlamudi,te
719,Gopi Goda Meeda Pilli,,,Gopi Goda Meeda Pilli,"Gopi's parents desperately want him to get married. When Laxmi comes into his life, he falls in love with her. Later, things change after Gopi travels to Bangalore and meets Priya",Allari Naresh Jagapati Babu Gowri Munjal Aarti Chabria,Janardhan Maharshi,te
720,W/O V.Varaprasad,,,,"W/O V. Vara Prasad is a 1998 Indian Telugu film, directed by Vamsy and Produced by Ram Gopal Varma. The film stars J. D. Chakravarthy, S. P. Balasubrahmanyam, Vineeth and Esha in lead roles. The music of the film was composed by M. M. Keeravani.",Vineeth Radhakrishnan Avani Modi J. D. Chakravarthi S. P. Balasubramaniam,Vamsy,te
721,Kanchanamala Cable TV,Romance,,,"Sudarshan, who runs a cable network, decides to use spy cameras to expose illegal dealings and criminal activities in his village. But his good work invites the wrath of many evil men.",Srikanth Raai Laxmi Shivaji Raja Sunil Varma Krishna Bhagavan,Parthasaradhi,te
722,Maa Ayana Bangaram,Drama,,,A lorry driver saves a woman from an accident but she loses her memory and he brings her home. They get married and have a child but her parents discover the truth and decide to take her home.,Dr. Rajasekhar Soundarya Kasturi Shankar Nirmalamma Costumes Krishna,A. Mohan Gandhi,te
723,Mithunam,Drama Family,love elderly couple,,An elderly couple live by themselves while their children are settled abroad; they take each day as special and enjoy their life.,S. P. Balasubramaniam Lakshmi Prakash Raj Brahmanandam Mohana Krishna Indraganti,Tanikella Bharani,te
724,Top Hero,Drama,,,"Top Hero is a 1994 Telugu film directed by Sv Krishna Reddy. The film stars Balakrishna, Soundarya, Amani and Kota Srinivasan Rao in lead roles.",Nandamuri Balakrishna Soundarya Kota Srinivasa Rao Brahmanandam Aamani,S.V. Krishna Reddy,te
725,Hare Ram,Action Thriller,,,"Hari and Ram, conjoined twins separated at birth, grow up separately when their parents part ways. Hari becomes a sincere cop while the mentally unstable Ram becomes a violent man who would barely hesitate to kill anyone considering themselves smarter than him.",Kalyan Ram Priyamani Kota Srinivasa Rao Brahmanandam Sindhu Tolani,Swarna Subba Rao,te
726,Bus Stop,Romance,,,,Prince Cecil Sri Divya Rao Ramesh Sai Kumar Pampana Khanna,Maruthi Dasari,te
727,Bubblegum,Romance Drama,,,"After falling in love, a street-smart man and a wealthy woman from different worlds try to work out their differences.",Roshan Kanakala Maanasa Chaudhary Harsha Chemudu Harshvardhan Rane Kiran Macha,Ravikanth Perepu,te
728,Heart Attack,Romance Action,,Intense and passionate,"A romantic drama which aims to allure the urban crowd, stars Nithiin Reddy and Adah Sharma. With a tagline `I need one hour kiss to burn 300 calories` - that suggests the film is high on romantic quotient",Nithiin Adah Sharma Vikramjeet Virk Prakash Raj Brahmanandam,Puri Jagannadh,te
729,Brahma Anandam,Comedy Drama,,,"Brahma Anandam is a Telugu romantic comedy entertainer movie directed by RVS Nikhil. The movie casts Raja Goutham, Priya Vadlamani, and Aishwarya Holakkal in the main lead roles along with Brahmanandam, Vennela Kishore, and many others..",Raja Goutham Brahmanandam Vennela Kishore Priya Vadlamani Sampath Raj,RVS Nikhil,te
730,Alludugaaru Vachcharu,Drama Comedy,,,"Murali helps his childhood friend Mahalakshmi and pretends to be her husband so that she can avoid an arranged marriage. However, destiny has other plans and the two slowly start falling in love.",Jagapati Babu Kausalya Heera Rajgopal Abbas Nassar,Ravi Raja Pinisetty,te
731,Abhishekam,,,,"A curse follows Vijay's family leading to early deaths in their household. Vijay wants a caretaker for his mother before he dies, so he hires a look- alike of him to stay with his mother.",S.V. Krishna Reddy Rachana Banerjee Radikaa Sarathkumar Srihari Tanikella Bharani,S.V. Krishna Reddy,te
